before_low;before_up;after_low;after_up
3.7008193;56.318836;0.35905653;3.4963682
3.9879403;49.901585;0.3837582;3.1859066
4.065672;72.53494;0.45371273;4.7354527
5.1915107;41.814114;0.45304433;2.5121467
4.646542;45.17387;0.41876003;2.7594
3.718608;52.87697;0.34568208;3.2060661
4.1882086;76.615654;0.49792692;5.2255707
4.3822336;51.502068;0.4216976;3.242994
5.298542;23.503494;0.5786382;2.0195956
4.425926;81.35299;0.5387246;5.5373745
4.1186547;48.250416;0.40131843;3.1490881
3.7967498;59.38884;0.39686263;3.908807
6.1062255;30.794981;0.612487;2.2820077
4.2062826;57.877106;0.4052137;3.5162709
4.2745447;46.046036;0.37558645;2.734646
4.4141192;46.13475;0.40093794;2.8298638
4.160113;57.177418;0.44051626;3.8509269
4.081243;47.466118;0.38919836;3.0457716
4.333322;68.133896;0.49671942;4.674805
4.643134;52.1869;0.42959693;3.1336937
4.023237;67.60926;0.43525296;4.3913627
4.285643;59.53343;0.43145382;3.74677
3.9349728;57.075603;0.37844995;3.487452
4.3762045;48.255165;0.39105695;2.8723865
4.3002048;65.58401;0.4483333;4.133762
4.368201;62.507664;0.45944303;4.0439677
4.8923674;59.72914;0.50768834;3.852319
3.699818;57.101257;0.36684057;3.6089723
3.7308295;56.531654;0.3850777;3.7370524
4.418039;53.92421;0.41569057;3.267116
4.3424377;40.6385;0.3942627;2.584657
3.9501858;67.01123;0.4286208;4.383821
4.067705;69.367485;0.44325697;4.4938316
4.85007;39.05167;0.42326212;2.3980997
5.690538;26.804443;0.67676425;2.4454198
3.988017;57.935333;0.39255285;3.6059842
4.0747666;57.30086;0.4287453;3.8341193
4.615081;61.13618;0.4748923;3.8871374
3.9286628;57.189655;0.3849044;3.5601048
4.505078;43.645588;0.39215246;2.6016066
4.099531;67.82862;0.43409002;4.299158
3.7585404;52.359875;0.3613497;3.2965262
4.3734818;53.925575;0.40826154;3.2419508
4.2076273;69.96143;0.46185827;4.5459905
5.0114837;41.393436;0.47375077;2.7129679
4.5307283;53.4201;0.47020182;3.5906217
4.745502;49.744843;0.44513404;3.0730746
3.982903;64.13998;0.4222563;4.160846
4.5437193;50.704403;0.4116368;3.0095093
4.3995285;52.209717;0.41087303;3.172657
4.004363;62.921543;0.41139665;3.9767313
