before_low;before_up;after_low;after_up
4.9021573;54.843132;0.64918107;4.7006445
3.5764139;57.3081;0.44513825;4.5934324
5.1424546;37.60453;0.72624874;3.8289363
4.0730295;57.961647;0.5365502;4.8898144
4.242406;66.78798;0.5481454;5.2428837
3.9979477;56.50193;0.5265739;4.8099637
5.4037933;38.40267;0.76200294;3.874166
4.07445;66.47134;0.52029413;5.1709523
4.166951;56.966408;0.5420599;4.765806
3.9916303;66.61653;0.49217027;4.993962
4.9981194;49.686333;0.65393347;4.3329606
4.160974;49.603416;0.51667655;4.1301174
4.5618052;52.84847;0.57321477;4.351818
3.9558465;53.017223;0.53595716;4.7480817
4.280731;49.319786;0.5443574;4.2127004
4.525267;65.472984;0.5837388;5.1542716
4.3493433;66.10279;0.57919496;5.3725715
4.311958;65.33263;0.50835764;4.690789
4.5412974;51.346844;0.5821226;4.3576283
4.0999756;61.45947;0.531165;4.9918404
3.8223896;64.39136;0.524833;5.485109
5.0083814;46.916885;0.66122955;4.2009807
4.090203;72.750534;0.5625562;5.9172163
4.406207;46.373714;0.5645167;4.06065
4.2801256;50.462322;0.5478345;4.3096786
4.5960298;46.853413;0.61711484;4.2887697
4.0247426;64.745125;0.53098935;5.266267
3.8780506;62.67817;0.4774063;4.8009577
5.029484;42.014874;0.6646125;3.882779
4.211303;57.70712;0.5271223;4.6139417
3.9460435;68.19317;0.5396867;5.6582365
4.3531566;53.947662;0.5688651;4.608058
3.9267902;50.0791;0.515043;4.4130807
4.283751;65.22639;0.56017745;5.2288413
4.234235;46.102795;0.57271206;4.2871184
4.0139265;70.42775;0.53227735;5.583332
3.7378776;59.817123;0.4884023;4.965742
3.744538;59.395397;0.5054941;5.115498
4.2450957;61.7634;0.57209;5.213786
4.4264035;56.303722;0.57991964;4.752393
5.3324304;41.207188;0.7169108;3.8863373
3.6375365;60.29492;0.45631534;4.786501
4.229198;61.474525;0.55550027;5.0594687
5.2179604;38.299915;0.7026191;3.6908264
4.1229005;64.89266;0.51870084;5.0109053
4.6967206;50.87308;0.6170676;4.436737
4.5204663;55.64626;0.5924665;4.712682
3.8308446;63.430088;0.48177707;4.9503036
3.9922547;59.826096;0.50850314;4.8227434
3.8309493;62.56532;0.47972623;4.884592
4.2026706;72.27537;0.53569883;5.4301715
4.0662246;54.415077;0.5065902;4.4203568
3.8862388;50.25677;0.49423814;4.284749
4.699541;45.101624;0.6328354;4.182161
4.5776067;51.95358;0.5892811;4.411158
3.8724203;66.8522;0.5067052;5.3356357
4.21555;58.37274;0.5112098;4.4967437
4.2040796;44.54706;0.5377831;3.9468083
4.176386;52.481586;0.56238765;4.67509
5.58274;24.454334;0.9468536;3.280833
3.801818;54.62402;0.47346368;4.441216
4.314018;72.95397;0.5480741;5.436269
4.1686254;71.82682;0.56562436;5.782504
4.371632;77.614006;0.59008247;6.015304
4.0683074;52.938305;0.54596317;4.690852
4.376113;60.704296;0.5537435;4.8175244
4.023601;64.40016;0.5172437;5.10635
4.2322755;62.806385;0.56712574;5.2397017
5.2023315;40.324142;0.69150305;3.7841752
4.5307946;51.57373;0.5867402;4.418475
3.8994942;61.41601;0.49196994;4.8612485
4.289331;59.271492;0.5355766;4.6805677
4.1321654;56.30951;0.5138102;4.5112257
4.4052205;61.329967;0.5412887;4.7006707
4.211682;66.10875;0.5175317;4.941527
4.471864;49.40936;0.5649636;4.1816373
4.158474;43.336975;0.5344098;3.8894956
5.4244576;35.51492;0.77635074;3.7076592
4.5692954;69.17919;0.61892664;5.617441
4.375097;49.97334;0.59274155;4.5397983
3.9648201;61.950638;0.47160605;4.5919886
3.7886097;57.849426;0.49949878;4.9010797
4.133713;52.582985;0.5228367;4.384746
6.5710635;31.932571;0.97733456;3.5159569
4.73748;53.591053;0.603387;4.44865
3.7360306;61.953514;0.49312007;5.1354394
3.6667361;56.595104;0.45176834;4.5030684
3.9751127;69.373795;0.50598156;5.2983785
3.6543987;54.841137;0.48370966;4.754436
3.6287014;58.841125;0.44391844;4.5880923
3.8758297;56.86619;0.49876726;4.719429
3.7157733;57.90292;0.50501966;5.067475
4.2793794;53.963627;0.51541615;4.23368
4.176816;66.853745;0.56225294;5.4824634
3.9938562;63.226955;0.52852595;5.2050047
4.472591;58.89561;0.5632503;4.694827
3.9343965;57.17944;0.498067;4.6530986
4.232647;70.16889;0.5452223;5.3903723
4.3648562;60.51922;0.5682553;4.9549007
3.9364915;63.790768;0.5009891;5.0260167
4.0812974;55.0871;0.51451993;4.512205
4.4606185;49.934746;0.5778397;4.325149
4.667739;55.20137;0.61311984;4.691541
4.304999;54.02612;0.5481227;4.490204
4.820298;54.02766;0.6419672;4.6846895
3.9841354;64.24323;0.52505064;5.2360125
3.8594632;62.52935;0.4813444;4.860666
3.8268123;54.20493;0.45708773;4.22796
4.087604;67.491104;0.5469143;5.484678
3.8824;56.751495;0.5273046;4.988472
5.0878115;42.780323;0.65596104;3.8320792
